Hajduk Split , Benfica,group,"Poljud, Split",0,0,1994-09-14 20:30:00+02:00
Benfica , Anderlecht,group,"Estádio da Luz, Lisbon",3,1,1994-09-28 20:30:00+01:00
Steaua București , Hajduk Split,group,"Stadionul Ghencea, Bucharest",0,1,1994-09-28 21:30:00+01:00
Benfica , Steaua București,group,"Estádio da Luz, Lisbon",2,1,1994-10-19 20:30:00+01:00
Hajduk Split , Anderlecht,group,"Poljud, Split",2,1,1994-10-19 20:30:00+01:00
Steaua București , Benfica,group,"Stadionul Ghencea, Bucharest",1,1,1994-11-02 21:30:00+01:00
Anderlecht , Hajduk Split,group,"Constant Vanden Stock Stadium, Brussels",0,0,1994-11-02 20:30:00+01:00
Benfica , Hajduk Split,group,"Estádio da Luz, Lisbon",2,1,1994-11-23 20:30:00+01:00
Steaua București , Anderlecht,group,"Stadionul Ghencea, Bucharest",1,1,1994-11-23 21:30:00+01:00
Anderlecht , Benfica,group,"Constant Vanden Stock Stadium, Brussels",1,1,1994-12-07 20:30:00+01:00
Hajduk Split , Steaua București,group,"Poljud, Split",1,4,1994-12-07 20:30:00+01:00
Ajax , Milan,group,"Olympisch Stadium, Amsterdam",2,0,1994-09-14 20:30:00+02:00
Casino Salzburg , AEK Athens,group,"Ernst-Happel-Stadion, Vienna",0,0,1994-09-14 20:30:00+02:00
AEK Athens , Ajax,group,"Nikos Goumas Stadium, Nea Filadelfeia",1,2,1994-09-28 21:30:00+01:00
Milan , Casino Salzburg,group,"San Siro, Milan",3,0,1994-09-28 20:30:00+01:00
AEK Athens , Milan,group,"Nikos Goumas Stadium, Nea Filadelfeia",0,0,1994-10-19 21:30:00+01:00
Casino Salzburg , Ajax,group,"Ernst-Happel-Stadion, Vienna",0,0,1994-10-19 20:30:00+01:00
Ajax , Casino Salzburg,group,"Olympisch Stadion, Amsterdam",1,1,1994-11-02 20:30:00+01:00
Milan , AEK Athens,group,"Stadio Nereo Rocco, Trieste",2,1,1994-11-02 20:30:00+01:00
AEK Athens , Casino Salzburg,group,"Nikos Goumas Stadium, Nea Filadelfeia",1,3,1994-11-23 21:30:00+01:00
Milan , Ajax,group,"Stadio Nereo Rocco, Trieste",0,2,1994-11-23 20:30:00+01:00
Ajax , AEK Athens,group,"Olympisch Stadion, Amsterdam",2,0,1994-12-07 20:30:00+01:00
Casino Salzburg , Milan,group,"Ernst-Happel-Stadion, Vienna",0,1,1994-12-07 20:30:00+01:00
Nantes , Porto,group,"Stade de la Beaujoire, Nantes",0,0,1995-09-13 20:30:00+02:00
Aalborg BK , Panathinaikos,group,"Aalborg Stadion, Aalborg",2,1,1995-10-25 20:30:00+01:00
Panathinaikos , Nantes,group,"Olympic Stadium, Athens",3,1,1995-09-27 21:30:00+01:00
Porto , Aalborg BK,group,"Estádio das Antas, Porto",2,0,1995-09-27 20:30:00+01:00
Nantes , Aalborg BK,group,"Stade de la Beaujoire, Nantes",3,1,1995-10-18 20:30:00+01:00
Porto , Panathinaikos,group,"Estádio das Antas, Porto",0,1,1995-10-18 20:30:00+01:00
